 ,%Area,IntDen
1,2.250,19213.000
2,12.750,189102.000
3,18.250,227590.000
4,18.750,216578.000
5,17.500,236155.000
6,18.000,220839.000
7,18.500,207560.000
8,19.500,227227.000
9,25.750,231857.000
10,23.750,229246.000
11,19.250,258941.000
12,19.000,283038.000
13,23.000,195472.000
14,18.000,205734.000
15,17.250,361885.000
16,19.000,297056.000
17,17.750,180697.000
18,18.000,259227.000
19,19.250,293717.000
20,17.250,229221.000
21,14.250,217833.000
22,7.250,128071.000
23,2.500,19565.000
24,1.000,4414.000
25,0.000,0.000
26,0.250,1264.000
27,0.000,0.000
28,0.750,5517.000
29,0.000,0.000
30,1.000,7304.000
31,0.000,0.000
32,0.500,2648.000
33,0.000,0.000
34,0.000,0.000
35,0.000,0.000
36,0.000,0.000
37,0.000,0.000
38,0.750,4569.000
39,1.750,13034.000
40,1.000,9882.000
41,0.000,0.000
42,0.000,0.000
43,0.000,0.000
44,0.500,2693.000
45,0.000,0.000
46,0.750,5009.000
47,2.000,19390.000
48,1.000,9751.000
49,1.750,14382.000
50,0.000,0.000
51,0.000,0.000
52,0.000,0.000
53,0.000,0.000
54,0.000,0.000
55,0.000,0.000
56,0.000,0.000
57,0.000,0.000
58,0.000,0.000
59,0.000,0.000
60,0.250,1142.000
61,0.000,0.000
62,0.500,3131.000
63,0.000,0.000
64,0.000,0.000
65,23.500,214338.000
66,24.750,250819.000
67,25.000,257355.000
68,26.250,262282.000
69,24.000,269571.000
70,24.500,255398.000
71,27.000,270433.000
72,26.500,268855.000
73,26.750,268747.000
74,25.750,265654.000
75,26.250,259583.000
76,28.750,574266.000
77,24.750,257925.000
78,26.750,269509.000
79,33.750,1180799.000
80,27.000,310906.000
81,26.500,305029.000
82,26.000,317017.000
83,33.750,951435.000
84,24.250,247583.000
85,27.250,271173.000
86,24.250,284241.000
87,32.750,714148.000
88,36.000,1250271.000
89,23.250,278357.000
90,24.250,219937.000
91,32.000,928702.000
92,24.250,254043.000
93,20.000,275641.000
94,25.250,549628.000
95,19.250,532903.000
96,20.000,269103.000
97,24.500,280714.000
98,25.500,264010.000
99,23.750,208308.000
100,23.000,261797.000
101,24.500,238594.000
102,23.750,203578.000
103,27.250,714852.000
104,20.500,267836.000
105,30.250,593741.000
106,20.500,257900.000
107,23.500,251808.000
108,19.000,214137.000
109,21.750,236832.000
110,17.500,216575.000
111,15.250,169229.000
112,16.250,194936.000
113,7.000,74587.000
114,2.250,16268.000
115,0.500,2528.000
116,1.250,8315.000
117,0.000,0.000
118,1.750,18022.000
119,0.000,0.000
120,0.000,0.000
121,0.000,0.000
122,0.000,0.000
123,0.000,0.000
124,1.000,7091.000
125,0.000,0.000
126,0.000,0.000
127,0.000,0.000
128,0.000,0.000
129,20.000,208419.000
130,25.000,257788.000
131,24.750,318986.000
132,27.250,279695.000
133,26.000,272264.000
134,26.500,292987.000
135,27.250,286480.000
136,27.000,282042.000
137,27.250,282739.000
138,26.250,310145.000
139,26.250,270833.000
140,26.250,261777.000
141,25.750,270571.000
142,27.000,271245.000
143,26.750,283783.000
144,27.500,281304.000
145,26.500,271788.000
146,26.000,322484.000
147,37.000,1438891.000
148,24.750,263373.000
149,39.250,2013172.000
150,34.750,1222663.000
151,37.500,1396612.000
152,27.500,300243.000
153,35.750,1380673.000
154,26.750,273045.000
155,24.500,262293.000
156,24.500,248153.000
157,26.750,303371.000
158,24.000,617063.000
159,20.750,274571.000
160,18.250,216951.000
161,36.500,1714207.000
162,24.750,254708.000
163,27.500,313484.000
164,34.250,1800640.000
165,38.250,2032921.000
166,27.750,299552.000
167,27.250,313901.000
168,35.000,1104921.000
169,26.250,253735.000
170,24.000,270627.000
171,26.000,292618.000
172,24.000,251874.000
173,25.500,248441.000
174,27.250,369972.000
175,24.500,281415.000
176,26.250,331809.000
177,24.750,271526.000
178,25.250,233994.000
179,33.250,1074105.000
180,23.750,300393.000
181,13.500,124390.000
182,17.500,173501.000
183,25.000,282883.000
184,24.250,212143.000
185,24.250,324188.000
186,23.750,204873.000
187,23.250,216318.000
188,21.000,266773.000
189,18.250,192411.000
190,15.500,148637.000
191,10.250,174124.000
192,5.250,107268.000
193,22.250,198424.000
194,25.000,250223.000
195,25.000,285402.000
196,27.750,301849.000
197,27.000,289301.000
198,27.750,348104.000
199,27.750,334290.000
