 ,%Area,IntDen
1,2.750,53037
2,14.500,528645
3,21.750,679505
4,20.500,664445
5,21.000,676578
6,21.250,698465
7,20.250,638943
8,21.750,662714
9,29.500,832017
10,27.750,689632
11,22.000,769892
12,21.500,832411
13,25.250,619136
14,19.750,608862
15,20.000,700797
16,20.500,689133
17,19.750,592213
18,21.750,665670
19,21.500,810644
20,21.250,776833
21,16.000,547991
22,8.500,286671
23,3.500,68687
24,0.250,2196
25,0.000,0
26,0.250,2401
27,0.000,0
28,0.000,0
29,0.000,0
30,0.000,0
31,0.000,0
32,0.000,0
33,0.000,0
34,0.000,0
35,0.000,0
36,0.000,0
37,0.000,0
38,0.000,0
39,1.500,22071
40,0.000,0
41,0.000,0
42,0.000,0
43,0.000,0
44,0.000,0
45,0.000,0
46,0.000,0
47,0.000,0
48,0.000,0
49,0.000,0
50,0.000,0
51,0.000,0
52,0.000,0
53,0.000,0
54,0.000,0
55,0.000,0
56,0.000,0
57,0.000,0
58,0.000,0
59,0.000,0
60,0.000,0
61,0.000,0
62,0.000,0
63,0.000,0
64,0.000,0
65,27.250,632614
66,27.750,747008
67,24.750,708936
68,28.500,740609
69,29.000,782494
70,28.000,747633
71,28.750,778846
72,31.250,796946
73,28.000,768501
74,28.250,769773
75,27.750,728347
76,28.750,837968
77,27.500,742908
78,28.750,765891
79,30.750,1018272.000
80,29.750,784054
81,29.000,795204
82,30.250,869481
83,31.000,1349159
84,28.500,751315
85,27.750,779600
86,28.500,772528
87,31.000,907827
88,31.000,1059919
89,28.750,754102
90,26.250,669719
91,27.250,958172.000
92,29.250,1015846.000
93,23.500,713649
94,25.250,821582
95,18.500,751095
96,23.750,916972.000
97,26.500,706136
98,28.000,723891
99,27.750,665006
100,26.500,694298
101,29.500,703437
102,27.500,666307
103,25.000,906117
104,25.000,941262.000
105,27.250,862012.000
106,23.250,666994
107,27.000,695588
108,23.750,883145.000
109,26.250,667245
110,20.250,600324
111,18.500,525517
112,17.250,600931
113,9.250,242419
114,3.000,52261
115,0.500,4948
116,0.750,8171.000
117,0.000,0
118,0.000,0
119,0.000,0
120,0.000,0
121,0.000,0
122,0.000,0
123,0.000,0
124,0.000,0
125,0.000,0
126,0.000,0
127,0.000,0
128,0.000,0
129,21.500,633773
130,28.000,747111
131,32.000,1280501
132,28.750,781470
133,28.250,773616
134,30.250,820497.000
135,28.750,795717
136,29.500,784649
137,29.000,781276
138,33.250,1420671
139,27.500,760669
140,29.000,765140
141,30.000,794898
142,28.500,779544
143,30.250,819936
144,28.750,769191
145,28.500,765334
146,28.750,797910
