 ,%Area,IntDen
1,3.500,78163.000
2,17.250,964482.000
3,23.000,1042858.000
4,24.500,1040610.000
5,24.500,964578.000
6,27.000,1165294.000
7,25.000,951250.000
8,24.250,1039863.000
9,34.000,1736631.000
10,29.750,964929.000
11,26.750,1644977.000
12,28.250,1877221.000
13,32.750,1016285.000
14,24.250,951228.000
15,26.500,1477242.000
16,23.750,1312120.000
17,22.250,759992.000
18,23.000,1025250.000
19,24.250,1675509.000
20,26.250,1743607.000
21,21.500,1228592.000
22,10.000,551287.000
23,4.250,97792.000
24,1.250,15071.000
25,0.000,0.000
26,0.250,1623.000
27,0.000,0.000
28,0.000,0.000
29,1.500,15531.000
30,0.000,0.000
31,0.000,0.000
32,0.000,0.000
33,0.250,1642.000
34,0.000,0.000
35,1.000,8480.000
36,0.000,0.000
37,0.000,0.000
38,1.000,9276.000
39,6.500,341244.000
40,1.250,15985.000
41,0.500,4324.000
42,0.000,0.000
43,0.500,3604.000
44,3.000,83405.000
45,3.000,48756.000
46,2.250,32023.000
47,0.000,0.000
48,0.000,0.000
49,3.500,60480.000
50,0.750,7705.000
51,1.250,15442.000
52,1.500,18673.000
53,1.500,16475.000
54,0.000,0.000
55,0.000,0.000
56,0.000,0.000
57,0.000,0.000
58,0.000,0.000
59,0.000,0.000
60,1.000,8505.000
61,0.000,0.000
62,0.500,3434.000
63,2.500,27006.000
64,0.250,2031.000
65,33.500,1124917.000
66,30.750,915352.000
67,30.500,946466.000
68,32.750,977596.000
69,34.250,1070616.000
70,31.750,958756.000
71,32.750,988514.000
72,31.250,976534.000
73,31.250,920610.000
74,30.000,947411.000
75,31.500,943833.000
76,33.000,1070907.000
77,32.500,965508.000
78,33.000,1087351.000
79,34.750,1364835.000
80,32.250,1016225.000
81,30.250,1108990.000
82,32.500,1653351.000
83,41.750,3719525.000
84,33.250,1068877.000
85,33.750,1390897.000
86,32.750,1146597.000
87,34.250,1404399.000
88,30.750,1183467.000
89,31.000,1108769.000
90,31.250,881319.000
91,31.500,1251798.000
92,35.500,2821814.000
93,29.500,1228501.000
94,27.250,1097966.000
95,22.500,1948581.000
96,29.000,2389564.000
97,31.500,1150280.000
98,33.000,1417264.000
99,33.500,996163.000
100,32.500,1129911.000
101,34.000,1242695.000
102,31.000,872933.000
103,27.500,1240571.000
104,32.750,2459746.000
105,32.500,1249650.000
106,26.500,1031371.000
107,32.250,1348464.000
108,31.000,2509348.000
109,32.000,1060414.000
110,24.500,1133257.000
111,22.250,899511.000
112,23.500,1257203.000
113,11.500,350179.000
114,3.750,79707.000
115,2.500,26416.000
116,4.500,94919.000
117,0.500,3715.000
118,2.000,29519.000
119,0.000,0.000
120,0.000,0.000
121,0.000,0.000
122,0.250,2216.000
123,0.000,0.000
124,0.000,0.000
125,0.000,0.000
126,0.000,0.000
127,0.000,0.000
128,0.000,0.000
129,24.000,847291.000
130,31.250,958672.000
131,41.250,3895694.000
132,33.750,1125859.000
133,32.250,1016837.000
134,32.000,1070810.000
135,33.250,990476.000
136,30.750,968553.000
137,31.500,971592.000
138,41.750,4491517.000
139,33.500,1109126.000
140,32.000,999057.000
141,35.500,1095705.000
142,32.250,972621.000
