"Array","Template","TotalCounts","ExpLambda","Occupancy","Counts","Origin"
"A1","OCI-AML3",886,0.222861424072953,"ZeroCells",709,"Actual"
"A2","OCI-AML3",707,0.225976414398514,"ZeroCells",564,"Actual"
"A3","OCI-AML3",555,0.179083561520179,"ZeroCells",464,"Actual"
"A1","OCI-AML3",886,0.222861424072953,"OneCell",134,"Actual"
"A2","OCI-AML3",707,0.225976414398514,"OneCell",116,"Actual"
"A3","OCI-AML3",555,0.179083561520179,"OneCell",75,"Actual"
"A1","OCI-AML3",886,0.222861424072953,"DoubletPlus",43,"Actual"
"A2","OCI-AML3",707,0.225976414398514,"DoubletPlus",27,"Actual"
"A3","OCI-AML3",555,0.179083561520179,"DoubletPlus",16,"Actual"
"A1","OCI-AML3",886,0.222861424072953,"OneCell",158.008749667724,"Predicted"
"A2","OCI-AML3",707,0.225976414398514,"OneCell",127.450697720762,"Predicted"
"A3","OCI-AML3",555,0.179083561520179,"OneCell",83.0947725453632,"Predicted"
"A1","OCI-AML3",886,0.222861424072953,"DoubletPlus",18.991250332276,"Predicted"
"A2","OCI-AML3",707,0.225976414398514,"DoubletPlus",15.5493022792382,"Predicted"
"A3","OCI-AML3",555,0.179083561520179,"DoubletPlus",7.90522745463683,"Predicted"
"A1","OCI-AML3",886,0.222861424072953,"ZeroCells",709,"Predicted"
"A2","OCI-AML3",707,0.225976414398514,"ZeroCells",564,"Predicted"
"A3","OCI-AML3",555,0.179083561520179,"ZeroCells",464,"Predicted"
