 ,Count
1,0
2,0
3,0
4,1
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,0
19,1
20,0
21,0
22,1
23,0
24,0
25,0
26,0
27,0
28,0
29,3
30,0
31,0
32,2
33,0
34,0
35,0
36,0
37,1
38,1
39,0
40,0
41,0
42,0
43,1
44,0
45,0
46,1
47,0
48,1
49,1
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,1
58,0
59,0
60,2
61,0
62,0
63,0
64,0
65,1
66,0
67,1
68,0
69,0
70,0
71,0
72,0
