 ,Count
1,1
2,0
3,2
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,1
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,1
24,1
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,1
39,0
40,0
41,1
42,0
43,0
44,1
45,0
46,0
47,1
48,0
49,0
50,0
51,0
52,0
53,3
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,1
63,0
64,0
65,1
66,0
67,0
68,1
69,0
70,1
71,0
72,0
73,0
74,2
75,0
76,0
77,0
78,2
79,2
80,3
81,3
82,4
83,4
84,4
85,3
86,4
87,2
88,2
