 ,Count
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,1
23,0
24,0
25,0
26,0
27,1
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,2
39,0
40,1
41,0
42,0
43,1
44,0
45,0
46,0
47,1
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,1
58,1
59,1
60,0
61,0
62,0
63,1
64,0
65,0
66,1
67,0
68,0
69,0
70,1
71,0
72,0
73,0
74,1
75,3
76,0
77,3
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,1
86,1
87,1
88,3
